Number,SepallengthZScore,SepalWidthZScore,PetalLengthZScore,PetalWidthZScore
145,1.0345,-0.1245,0.8169,1.4431
140,1.0345,0.1061,1.0436,1.5742
120,1.2761,0.3367,1.1003,1.4431
136,0.5515,0.7980,1.0436,1.5742
135,2.2422,-0.1245,1.3270,1.4431
115,0.6722,0.3367,0.8736,1.4431
148,0.4307,0.7980,0.9302,1.4431
114,-0.0523,-0.5858,0.7602,1.5742
143,1.1553,0.3367,1.2136,1.4431
118,2.2422,-1.0471,1.7804,1.4431
141,1.2761,0.1061,0.7602,1.4431
144,1.0345,0.5674,1.1003,1.7052
109,1.6384,1.2592,1.3270,1.7052
104,0.7930,-0.1245,1.1569,1.3121
100,0.5515,0.5674,1.2703,1.7052
117,2.2422,1.7205,1.6670,1.3121
132,0.6722,-0.5858,1.0436,1.3121
124,1.0345,0.5674,1.1003,1.1811
112,1.1553,-0.1245,0.9869,1.1811
128,0.6722,-0.5858,1.0436,1.1811
102,1.5176,-0.1245,1.2136,1.1811
139,1.2761,0.1061,0.9302,1.1811
105,2.1214,-0.1245,1.6103,1.1811
110,0.7930,0.3367,0.7602,1.0500
147,0.7930,-0.1245,0.8169,1.0500
113,-0.1731,-1.2777,0.7035,1.0500
131,2.4837,1.7205,1.4970,1.0500
122,2.2422,-0.5858,1.6670,1.0500
121,-0.2939,-0.5858,0.6469,1.0500
111,0.6722,-0.8164,0.8736,0.9190
146,0.5515,-1.2777,0.7035,0.9190
130,1.8799,-0.5858,1.3270,0.9190
142,-0.0523,-0.8164,0.7602,0.9190
101,-0.0523,-0.8164,0.7602,0.9190
125,1.6384,0.3367,1.2703,0.7880
137,0.6722,0.1061,0.9869,0.7880
107,1.7591,-0.3552,1.4403,0.7880
70,0.0684,0.3367,0.5902,0.7880
108,1.0345,-1.2777,1.1569,0.7880
126,0.4307,-0.5858,0.5902,0.7880
116,0.7930,-0.1245,0.9869,0.7880
103,0.5515,-0.3552,1.0436,0.7880
149,0.0684,-0.1245,0.7602,0.7880
127,0.3100,-0.1245,0.6469,0.7880
138,0.1892,-0.1245,0.5902,0.7880
123,0.5515,-0.8164,0.6469,0.7880
77,1.0345,-0.1245,0.7035,0.6569
106,-1.1392,-1.2777,0.4202,0.6569
83,0.1892,-0.8164,0.7602,0.5259
129,1.6384,-0.1245,1.1569,0.5259
56,0.5515,0.5674,0.5335,0.5259
85,0.1892,0.7980,0.4202,0.5259
54,0.7930,-0.5858,0.4768,0.3948
61,0.0684,-0.1245,0.2501,0.3948
72,0.5515,-1.2777,0.6469,0.3948
68,0.4307,-1.9696,0.4202,0.3948
52,1.2761,0.1061,0.6469,0.3948
84,-0.5354,-0.1245,0.4202,0.3948
51,0.6722,0.3367,0.4202,0.3948
133,0.5515,-0.5858,0.7602,0.3948
86,1.0345,0.1061,0.5335,0.3948
78,0.1892,-0.3552,0.4202,0.3948
66,-0.2939,-0.1245,0.4202,0.3948
119,0.1892,-1.9696,0.7035,0.3948
37,-1.1392,0.1061,-1.2801,-1.4396
9,-1.1392,0.1061,-1.2801,-1.4396
12,-1.2600,-0.1245,-1.3368,-1.4396
34,-1.1392,0.1061,-1.2801,-1.4396
32,-0.7769,2.4124,-1.2801,-1.4396
13,-1.8638,-0.1245,-1.5068,-1.4396
76,1.1553,-0.5858,0.5902,0.2638
75,0.9138,-0.1245,0.3635,0.2638
50,1.3968,0.3367,0.5335,0.2638
134,0.3100,-1.0471,1.0436,0.2638
63,0.3100,-0.3552,0.5335,0.2638
91,0.3100,-0.1245,0.4768,0.2638
65,1.0345,0.1061,0.3635,0.2638
59,-0.7769,-0.8164,0.0801,0.2638
49,-1.0184,0.5674,-1.3368,-1.3086
47,-1.5015,0.3367,-1.3368,-1.3086
8,-1.7430,-0.3552,-1.3368,-1.3086
22,-1.5015,1.2592,-1.5635,-1.3086
27,-0.7769,1.0286,-1.2801,-1.3086
35,-1.0184,0.3367,-1.4501,-1.3086
10,-0.5354,1.4899,-1.2801,-1.3086
4,-1.0184,1.2592,-1.3368,-1.3086
42,-1.7430,0.3367,-1.3935,-1.3086
7,-1.0184,0.7980,-1.2801,-1.3086
20,-0.5354,0.7980,-1.1668,-1.3086
30,-1.2600,0.1061,-1.2234,-1.3086
3,-1.5015,0.1061,-1.2801,-1.3086
46,-0.8977,1.7205,-1.2234,-1.3086
24,-1.2600,0.7980,-1.0534,-1.3086
29,-1.3807,0.3367,-1.2234,-1.3086
25,-1.0184,-0.1245,-1.2234,-1.3086
48,-0.6561,1.4899,-1.2801,-1.3086
39,-0.8977,0.7980,-1.2801,-1.3086
33,-0.4146,2.6430,-1.3368,-1.3086
0,-0.8977,1.0286,-1.3368,-1.3086
11,-1.2600,0.7980,-1.2234,-1.3086
14,-0.0523,2.1818,-1.4501,-1.3086
36,-0.4146,1.0286,-1.3935,-1.3086
1,-1.1392,-0.1245,-1.3368,-1.3086
2,-1.3807,0.3367,-1.3935,-1.3086
38,-1.7430,-0.1245,-1.3935,-1.3086
28,-0.7769,0.7980,-1.3368,-1.3086
64,-0.2939,-0.3552,-0.0899,0.1328
53,-0.4146,-1.7390,0.1368,0.1328
97,0.4307,-0.3552,0.3068,0.1328
99,-0.1731,-0.5858,0.1935,0.1328
58,0.9138,-0.3552,0.4768,0.1328
55,-0.1731,-0.5858,0.4202,0.1328
74,0.6722,-0.3552,0.3068,0.1328
96,-0.1731,-0.3552,0.2501,0.1328
88,-0.2939,-0.1245,0.1935,0.1328
89,-0.4146,-1.2777,0.1368,0.1328
71,0.3100,-0.5858,0.1368,0.1328
87,0.5515,-1.7390,0.3635,0.1328
94,-0.2939,-0.8164,0.2501,0.1328
41,-1.6223,-1.7390,-1.3935,-1.1776
17,-0.8977,1.0286,-1.3368,-1.1776
18,-0.1731,1.7205,-1.1668,-1.1776
19,-0.8977,1.7205,-1.2801,-1.1776
45,-1.2600,-0.1245,-1.3368,-1.1776
6,-1.5015,0.7980,-1.3368,-1.1776
40,-1.0184,1.0286,-1.3935,-1.1776
73,0.3100,-0.5858,0.5335,0.0017
90,-0.4146,-1.0471,0.3635,0.0017
95,-0.1731,-0.1245,0.2501,0.0017
82,-0.0523,-0.8164,0.0801,0.0017
92,-0.0523,-1.0471,0.1368,0.0017
21,-0.8977,1.4899,-1.2801,-1.0465
44,-0.8977,1.7205,-1.0534,-1.0465
5,-0.5354,1.9511,-1.1668,-1.0465
26,-1.0184,0.7980,-1.2234,-1.0465
15,-0.1731,3.1043,-1.2801,-1.0465
31,-0.5354,0.7980,-1.2801,-1.0465
16,-0.5354,1.9511,-1.3935,-1.0465
98,-0.8977,-1.2777,-0.4300,-0.1293
80,-0.4146,-1.5083,0.0234,-0.1293
69,-0.2939,-1.2777,0.0801,-0.1293
23,-0.8977,0.5674,-1.1668,-0.9155
79,-0.1731,-1.0471,-0.1466,-0.2603
93,-1.0184,-1.7390,-0.2600,-0.2603
57,-1.1392,-1.5083,-0.2600,-0.2603
60,-1.0184,-2.4308,-0.1466,-0.2603
81,-0.4146,-1.5083,-0.0332,-0.2603
67,-0.0523,-0.8164,0.1935,-0.2603
62,0.1892,-1.9696,0.1368,-0.2603
43,-1.0184,1.0286,-1.2234,-0.7845
