Number,Sepallength,Sepalwidth,Petallength,Petalwidth,Stemlength,Leaflength,Leafwidth,Bedrock,Soil,Landuse,Class
145,6.7,3,5.2,2.3,47.16134912,31.59810391,5.3,2,1,5,3
140,6.7,3.1,5.6,2.4,16.1788506,10.8398299,5.5,2,5,5,3
120,6.9,3.2,5.7,2.3,19.16598889,13.22453233,5.5,2,6,5,3
136,6.3,3.4,5.6,2.4,19.29455173,12.15556759,5.8,2,5,5,3
135,7.7,3,6.1,2.3,75.79375552,58.36119175,5.3,2,6,5,3
115,6.4,3.2,5.3,2.3,68.68944178,43.96124274,5.5,2,6,5,3
148,6.2,3.4,5.4,2.3,43.23010944,26.80266785,5.7,2,5,5,3
114,5.8,2.8,5.1,2.4,16.76223107,9.722094021,5.2,2,3,5,3
143,6.8,3.2,5.9,2.3,29.952348351,6.767596879,5.5,2,3,5,3
118,7.7,2.6,6.9,2.3,54.3700757,41.86495829,4.9,2,8,5,3
141,6.9,3.1,5.1,2.3,30.21580878,20.84890806,5.4,2,3,5,3
144,6.7,3.3,5.7,2.5,33.94091146,22.74041068,5.8,2,6,5,3
109,7.2,3.6,6.1,2.5,39.44463015,28.40013371,6.1,2,6,5,3
104,6.5,3,5.8,2.2,65.44627319,42.54007757,5.2,2,1,5,3
100,6.3,3.3,6,2.5,81.57866308,51.39455774,5.8,2,1,5,3
117,7.7,3.8,6.7,2.2,24.53292434,18.89035174,6,2,8,4,3
132,6.4,2.8,5.6,2.2,15.66171228,10.02349586,5,2,5,5,3
124,6.7,3.3,5.7,2.1,15.43903327,10.34415229,5.4,2,3,5,3
112,6.8,3,5.5,2.1,33.415182788,2.322324296,5.1,2,3,5,3
128,6.4,2.8,5.6,2.1,76.92791375,49.2338648,4.9,2,3,5,3
102,7.1,3,5.9,2.1,76.64726097,54.41955529,5.1,2,6,5,3
139,6.9,3.1,5.4,2.1,50.3694216,34.75490091,5.2,2,3,5,3
105,7.6,3,6.6,2.1,42.52960497,32.32249977,5.1,2,6,4,3
110,6.5,3.2,5.1,2,14.70920719,9.560984672,5.2,1,3,5,3
147,6.5,3,5.2,2,56.06462667,36.44200734,5,1,7,5,3
113,5.7,2.5,5,2,60.27081883,34.35436673,4.5,1,3,5,3
131,7.9,3.8,6.4,2,42.26420705,33.38872357,5.8,2,1,4,3
122,7.7,2.8,6.7,2,55.23113128,42.52797109,4.8,2,8,4,3
121,5.6,2.8,4.9,2,54.0362015,30.26027284,4.8,2,1,5,3
111,6.4,2.7,5.3,1.9,44.07370121,28.20716877,4.6,1,3,5,3
146,6.3,2.5,5,1.9,37.99515628,23.93694846,4.4,1,6,5,3
130,7.4,2.8,6.1,1.9,94.82676584,70.17180672,4.7,1,7,2,3
142,5.8,2.7,5.1,1.9,96.28532662,55.84548944,4.6,1,3,5,3
101,5.8,2.7,5.1,1.9,70.76864823,41.04581597,4.6,1,3,5,3
125,7.2,3.2,6,1.8,98.41403534,70.85810544,5,1,4,2,3
137,6.4,3.1,5.5,1.8,49.418845568,6.028061163,4.9,1,1,4,3
107,7.3,2.9,6.3,1.8,47.11288938,34.39240925,4.7,2,1,4,3
70,5.9,3.2,4.8,1.8,81.96975036,48.36215271,5,1,1,2,2
108,6.7,2.5,5.8,1.8,34.130444994,2.767398146,4.3,1,1,4,3
126,6.2,2.8,4.8,1.8,96.56053447,59.86753137,4.6,1,1,2,3
116,6.5,3,5.5,1.8,27.10498288,17.61823887,4.8,1,1,4,3
103,6.3,2.9,5.6,1.8,61.18504783,38.54658013,4.7,1,6,4,3
149,5.9,3,5.1,1.8,21.07602408,12.43485421,4.8,1,4,5,3
127,6.1,3,4.9,1.8,76.75899237,46.82298535,4.8,1,6,2,3
138,6,3,4.8,1.8,85.69925141,51.41955085,4.8,1,1,2,3
123,6.3,2.7,4.9,1.8,78.39231502,49.38715846,4.5,1,6,2,3
77,6.7,3,5,1.7,12.69517539,8.505767514,4.7,1,6,2,2
106,4.9,2.5,4.5,1.7,98.95949935,48.49015468,4.2,2,8,1,3
83,6,2.7,5.1,1.6,87.09806843,52.25884106,4.3,1,6,1,2
129,7.2,3,5.8,1.6,69.46234298,50.01288695,4.6,1,6,4,3
56,6.3,3.3,4.7,1.6,41.39167404,26.07675465,4.9,2,1,1,2
85,6,3.4,4.5,1.6,41.14109374,24.68465624,5,2,2,1,2
54,6.5,2.8,4.6,1.5,26.25213513,17.06388784,4.3,2,8,3,2
61,5.9,3,4.2,1.5,39.50923541,23.31044889,4.5,2,2,3,2
72,6.3,2.5,4.9,1.5,16.270267121,3.950268286,4,2,7,1,2
68,6.2,2.2,4.5,1.5,22.75810926,14.11002774,3.7,2,2,3,2
52,6.9,3.1,4.9,1.5,96.88955042,66.85378979,4.6,2,7,1,2
84,5.4,3,4.5,1.5,96.57112418,52.14840706,4.5,2,2,3,2
51,6.4,3.2,4.5,1.5,33.42937684,21.39480117,4.7,2,2,3,2
133,6.3,2.8,5.1,1.5,80.11506125,50.47248859,4.3,1,1,1,3
86,6.7,3.1,4.7,1.5,86.74711273,58.12056553,4.6,2,7,3,2
78,6,2.9,4.5,1.5,50.27874963,30.16724978,4.4,2,2,3,2
66,5.6,3,4.5,1.5,19.757779802,5.464356689,4.5,2,2,3,2
119,6,2.2,5,1.5,30.89905122,18.53943073,3.7,1,3,1,3
37,4.9,3.1,1.5,0.1,40.14503983,19.67106952,3.2,2,8,3,1
9,4.9,3.1,1.5,0.1,54.6967239,26.80139471,3.2,2,8,3,1
12,4.8,3,1.4,0.1,77.93548317,37.40903192,3.1,2,2,3,1
34,4.9,3.1,1.5,0.1,50.80655049,24.89520974,3.2,2,8,3,1
32,5.2,4.1,1.5,0.1,43.31079785,22.52161488,4.2,2,8,3,1
13,4.3,3,1.1,0.1,59.04586884,25.3897236,3.1,2,3,3,1
76,6.8,2.8,4.8,1.4,90.43415671,61.49522657,4.2,3,7,3,2
75,6.6,3,4.4,1.4,53.634333566,2.398660154,4.4,2,2,5,2
50,7,3.2,4.7,1.4,99.00290191,69.30203134,4.6,3,8,3,2
134,6.1,2.6,5.6,1.4,74.93340333,45.70937603,4,2,6,6,3
63,6.1,2.9,4.7,1.4,40.12513395,24.47633171,4.3,3,8,3,2
91,6.1,3,4.6,1.4,16.13749334,9.84387094,4.4,3,2,3,2
65,6.7,3.1,4.4,1.4,34.85828662,23.35505203,4.5,2,2,5,2
59,5.2,2.7,3.9,1.4,90.30860938,46.96047688,4.1,2,1,5,2
49,5,3.3,1.4,0.2,70.41028318,35.20514159,3.5,3,2,3,1
47,4.6,3.2,1.4,0.2,58.53238288,26.92489612,3.4,3,2,3,1
8,4.4,2.9,1.4,0.2,15.91072851,7.000720543,3.1,3,2,3,1
22,4.6,3.6,1,0.2,98.1293646,45.13950771,3.8,2,1,5,1
27,5.2,3.5,1.5,0.2,34.12894053,17.74704908,3.7,3,8,3,1
35,5,3.2,1.2,0.2,10.66859019,5.334295094,3.4,2,2,5,1
10,5.4,3.7,1.5,0.2,23.582651323,4.314631715,3.9,3,8,3,1
4,5,3.6,1.4,0.2,70.86833527,35.43416764,3.8,3,2,3,1
42,4.4,3.2,1.3,0.2,74.88360068,32.9487843,3.4,2,2,3,1
7,5,3.4,1.5,0.2,69.08817233,34.54408617,3.6,3,8,3,1
20,5.4,3.4,1.7,0.2,57.54333438,31.07340056,3.6,3,7,3,1
30,4.8,3.1,1.6,0.2,99.31477781,47.67109335,3.3,3,8,3,1
3,4.6,3.1,1.5,0.2,69.44538923,31.94487904,3.3,3,8,3,1
46,5.1,3.8,1.6,0.2,14.43775644,7.363255786,4,3,8,3,1
24,4.8,3.4,1.9,0.2,62.8884708,30.18646598,3.6,2,7,4,1
29,4.7,3.2,1.6,0.2,95.75250938,45.00367941,3.4,3,8,3,1
25,5,3,1.6,0.2,27.74193664,13.87096832,3.2,3,8,3,1
48,5.3,3.7,1.5,0.2,63.62321272,33.72030274,3.9,3,8,3,1
39,5.1,3.4,1.5,0.2,37.217920273,3.681139339,3.6,3,8,3,1
33,5.5,4.2,1.4,0.2,21.249537713,3.687245742,4.4,3,2,3,1
0,5.1,3.5,1.4,0.2,32.10121235,16.3716183,3.7,3,2,3,1
11,4.8,3.4,1.6,0.2,38.41432126,18.4388742,3.6,3,8,3,1
14,5.8,4,1.2,0.2,17.875901425,4.568022826,4.2,2,2,5,1
36,5.5,3.5,1.3,0.2,61.9613595,34.07874772,3.7,2,2,3,1
1,4.9,3,1.4,0.2,97.68050236,47.86344616,3.2,3,2,3,1
2,4.7,3.2,1.3,0.2,98.45438632,46.27356157,3.4,2,2,3,1
38,4.4,3,1.3,0.2,77.20008927,33.96803928,3.2,2,2,3,1
28,5.2,3.4,1.4,0.2,64.064507,33.31354364,3.6,3,2,3,1
64,5.6,2.9,3.6,1.3,54.3769882,30.45111339,4.2,2,1,5,2
53,5.5,2.3,4,1.3,53.07666922,29.19216807,3.6,2,3,1,2
97,6.2,2.9,4.3,1.3,38.98014733,24.16769135,4.2,2,1,5,2
99,5.7,2.8,4.1,1.3,26.91380536,15.34086906,4.1,2,1,1,2
58,6.6,2.9,4.6,1.3,85.4866726,56.42120392,4.2,3,8,3,2
55,5.7,2.8,4.5,1.3,96.83122394,55.19379765,4.1,3,2,3,2
74,6.4,2.9,4.3,1.3,13.41464058,8.585369968,4.2,2,1,5,2
96,5.7,2.9,4.2,1.3,99.33462031,56.62073358,4.2,2,8,5,2
88,5.6,3,4.1,1.3,76.16922062,42.65476355,4.3,2,1,1,2
89,5.5,2.5,4,1.3,39.60178904,21.78098397,3.8,2,3,1,2
71,6.1,2.8,4,1.3,26.84386038,16.37475483,4.1,2,3,1,2
87,6.3,2.3,4.4,1.3,17.34386232,10.92663326,3.6,2,2,5,2
94,5.6,2.7,4.2,1.3,39.16266397,21.93109182,4,2,8,5,2
41,4.5,2.3,1.3,0.3,12.21016111,5.494572498,2.6,2,2,3,1
17,5.1,3.5,1.4,0.3,85.81660962,43.76647091,3.8,3,2,3,1
18,5.7,3.8,1.7,0.3,41.04484299,23.3955605,4.1,3,8,3,1
19,5.1,3.8,1.5,0.3,55.94845205,28.53371055,4.1,3,8,3,1
45,4.8,3,1.4,0.3,38.93412513,18.68838006,3.3,3,2,3,1
6,4.6,3.4,1.4,0.3,93.3581074,42.9447294,3.7,3,2,3,1
40,5,3.5,1.3,0.3,90.51014101,45.25507051,3.8,2,2,3,1
73,6.1,2.8,4.7,1.2,41.955006981,6.582554259,4,3,8,3,2
90,5.5,2.6,4.4,1.2,80.8372833,44.46050582,3.8,2,2,5,2
95,5.7,3,4.2,1.2,78.07906736,44.50506839,4.2,2,1,1,2
82,5.8,2.7,3.9,1.2,91.16089159,52.87331712,3.9,2,1,1,2
92,5.8,2.6,4,1.2,90.65871588,52.58205521,3.8,2,1,1,2
21,5.1,3.7,1.5,0.4,46.85851905,23.89784471,4.1,3,8,3,1
44,5.1,3.8,1.9,0.4,98.56823237,50.26979851,4.2,3,1,4,1
5,5.4,3.9,1.7,0.4,80.66520738,43.55921199,4.3,3,8,3,1
26,5,3.4,1.6,0.4,75.54660371,37.77330185,3.8,3,8,3,1
15,5.7,4.4,1.5,0.4,32.99591774,18.80767311,4.8,3,8,3,1
31,5.4,3.4,1.5,0.4,16.85009476,9.099051169,3.8,3,8,3,1
16,5.4,3.9,1.3,0.4,66.27640714,35.78925986,4.3,2,2,3,1
98,5.1,2.5,3,1.1,48.07471817,24.51810627,3.6,3,8,3,2
80,5.5,2.4,3.8,1.1,62.47356033,34.36045818,3.5,2,1,1,2
69,5.6,2.5,3.9,1.1,53.0565129,29.71164722,3.6,2,2,1,2
23,5.1,3.3,1.7,0.5,57.4644209,29.30685466,3.8,3,8,3,1
79,5.7,2.6,3.5,1,70.05530695,39.93152496,3.6,2,1,1,2
93,5,2.3,3.3,1,75.31594744,37.65797372,3.3,2,2,3,2
57,4.9,2.4,3.3,1,38.18902816,18.7126238,3.4,2,2,3,2
60,5,2,3.5,1,97.74956219,48.87478109,3,2,1,1,2
81,5.5,2.4,3.7,1,10.92230164,6.007265905,3.4,2,6,1,2
67,5.8,2.7,4.1,1,78.63450979,45.60801568,3.7,2,1,1,2
62,6,2.2,4,1,96.52512952,57.91507771,3.2,2,1,1,2
43,5,3.5,1.6,0.6,71.48647449,35.74323725,4.1,3,8,3,1
